"Category","Status","Risk","NexusModId","LogFile","SourceLog"
"Installed standard path","installed-standard-or-script-merged","medium","11620","install-lighter-bombs-w3ee-redux-11620-2026-06-22.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-lighter-bombs-w3ee-redux-11620-2026-06-22.md"
"Installed standard path","installed-standard-or-script-merged","medium","2937","install-live-bestiary-2937-2026-06-23.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-live-bestiary-2937-2026-06-23.md"
"Installed standard path","installed-standard-or-script-merged","medium","445","install-lore-friendly-silver-swords-2026-06-23.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-lore-friendly-silver-swords-2026-06-23.md"
"Installed standard path","installed-standard-or-script-merged","medium","8041","install-marlena-the-cook-8041-2026-06-24.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-marlena-the-cook-8041-2026-06-24.md"
"Installed standard path","installed-standard-or-script-merged","medium","3287","install-mcme-3287-2026-06-22.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-mcme-3287-2026-06-22.md"
"Installed standard path","installed-standard-or-script-merged","medium","3287;11727","install-mcme-optionals-horse-11727-2026-06-22.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-mcme-optionals-horse-11727-2026-06-22.md"
"Installed standard path","installed-standard-or-script-merged","medium","10939","install-memory-of-iris-10939-2026-06-23.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-memory-of-iris-10939-2026-06-23.md"
"Installed standard path","installed-standard-or-script-merged","medium","3711","install-mod-limit-adjuster-3711-2026-06-22.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-mod-limit-adjuster-3711-2026-06-22.md"
"Installed standard path","installed-standard-or-script-merged","medium","3890","install-modular-eyes-3890-2026-06-22.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-modular-eyes-3890-2026-06-22.md"
"Installed standard path","installed-standard-or-script-merged","medium","2183","install-naked-geralt-2183-2026-06-23.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-naked-geralt-2183-2026-06-23.md"
"Installed standard path","installed-standard-or-script-merged","medium","2925","install-natural-torchlight-2925-2026-06-23.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-natural-torchlight-2925-2026-06-23.md"
"Installed standard path","installed-standard-or-script-merged","medium","3315","install-new-clouds-2026-06-23.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\install-new-clouds-2026-06-23.md"
