"DownloadedAt","NexusModId","ArchiveName","SizeMB","SourceUrl","FullPath","BacklogStatus","Notes"
"2026-06-23 23:21:36","9383","Reputation System W3EE_REDUX-9383-W3EER-1-42i-RS-2-5c-1770459724.zip","0.31","https://www.nexusmods.com/witcher3/mods/9383","C:\Users\marti\Downloads\Reputation System W3EE_REDUX-9383-W3EER-1-42i-RS-2-5c-1770459724.zip","triage",""
"2026-06-23 23:18:27","9089","memoryofmakinglove-9089-2-4a-1770653991.zip","0.72","https://www.nexusmods.com/witcher3/mods/9089","C:\Users\marti\Downloads\memoryofmakinglove-9089-2-4a-1770653991.zip","triage",""
"2026-06-23 23:16:40","8707","Patches for W3EER - BiA - Gwent Redux-8707-W3EER-1-42a-GR-4-04-BiA-2-72-FOCES-4-6f-1737179454.zip","0.22","https://www.nexusmods.com/witcher3/mods/8707","C:\Users\marti\Downloads\Patches for W3EER - BiA - Gwent Redux-8707-W3EER-1-42a-GR-4-04-BiA-2-72-FOCES-4-6f-1737179454.zip","triage",""
"2026-06-23 23:16:08","8707","Cheaper Lore Friendlier Shop Prices Pre-Merge-8707-CLFSP-4-04-1-FOCES-4-8d-1767278482.zip","0.06","https://www.nexusmods.com/witcher3/mods/8707","C:\Users\marti\Downloads\Cheaper Lore Friendlier Shop Prices Pre-Merge-8707-CLFSP-4-04-1-FOCES-4-8d-1767278482.zip","triage",""
"2026-06-23 23:15:12","8707","mod00FlorenEconomySystem_W3EE_REDUX-8707-W3EER-1-42i-FOCES-4-8d-1767278451.zip","0.66","https://www.nexusmods.com/witcher3/mods/8707","C:\Users\marti\Downloads\mod00FlorenEconomySystem_W3EE_REDUX-8707-W3EER-1-42i-FOCES-4-8d-1767278451.zip","triage",""
"2026-06-23 23:14:29","8707","RS - FOCES - W3EE_REDUX Patch-8707-RS-2-5c-FOCES-4-8d-W3EER-1-42i-1770460001.zip","0.18","https://www.nexusmods.com/witcher3/mods/8707","C:\Users\marti\Downloads\RS - FOCES - W3EE_REDUX Patch-8707-RS-2-5c-FOCES-4-8d-W3EER-1-42i-1770460001.zip","triage",""
"2026-06-23 23:12:53","4438","Immersive Rewards-4438-0-1-1582586746.7z","0.11","https://www.nexusmods.com/witcher3/mods/4438","C:\Users\marti\Downloads\Immersive Rewards-4438-0-1-1582586746.7z","triage",""
"2026-06-23 23:10:35","5384","Geralt In Brothel 3.1-5384-3-1-1611256856.7z","9.42","https://www.nexusmods.com/witcher3/mods/5384","C:\Users\marti\Downloads\Geralt In Brothel 3.1-5384-3-1-1611256856.7z","triage",""
"2026-06-23 23:08:55","8699","dlcmasteralchemist-8699-1-6-1768333304.zip","0.07","https://www.nexusmods.com/witcher3/mods/8699","C:\Users\marti\Downloads\dlcmasteralchemist-8699-1-6-1768333304.zip","triage",""
"2026-06-23 23:08:38","8683","dlcolivegrape-8683-1-1-1768338252.zip","0.04","https://www.nexusmods.com/witcher3/mods/8683","C:\Users\marti\Downloads\dlcolivegrape-8683-1-1-1768338252.zip","triage",""
